"Year","Election Date","Election Type","Votes Cast","Electoral District","Number of Candidates","Registered Voters","Voter Turnout","Rejected Ballots","Unmarked Ballots","Declined Ballots","Valid Ballots",
"2022","June 02, 2022","General Election","37687","001 - Ajax","8","94835","37896","120","74","15","37687",
"2022","June 02, 2022","General Election","24499","002 - Algoma—Manitoulin","6","58076","24663","116","39","9","24499",
"2022","June 02, 2022","General Election","32559","003 - Aurora—Oak Ridges—Richmond Hill","7","85709","32735","108","54","14","32559",
"2022","June 02, 2022","General Election","36272","004 - Barrie—Innisfil","8","92137","36500","105","70","53","36272",
"2022","June 02, 2022","General Election","39500","005 - Barrie—Springwater—Oro-Medonte","6","84950","39710","118","65","27","39500",
"2022","June 02, 2022","General Election","43366","006 - Bay of Quinte","6","94852","43545","80","60","39","43366",
"2022","June 02, 2022","General Election","40648","007 - Beaches—East York","9","82279","40791","71","39","33","40648",
"2022","June 02, 2022","General Election","24463","008 - Brampton Centre","5","67093","24602","75","47","17","24463",
"2022","June 02, 2022","General Election","29036","009 - Brampton East","6","80463","29249","73","79","61","29036",
"2022","June 02, 2022","General Election","30025","010 - Brampton North","6","78586","30228","81","106","16","30025",
"2022","June 02, 2022","General Election","28602","011 - Brampton South","6","80195","28714","47","46","19","28602",
"2022","June 02, 2022","General Election","30836","012 - Brampton West","6","90617","30983","40","84","23","30836",
"2022","June 02, 2022","General Election","46953","013 - Brantford—Brant","9","112204","47187","128","72","34","46953",
"2022","June 02, 2022","General Election","41811","014 - Bruce—Grey—Owen Sound","9","89703","42180","129","146","94","41811",
"2022","June 02, 2022","General Election","52520","015 - Burlington","6","102249","52789","131","94","44","52520",
"2022","June 02, 2022","General Election","39401","016 - Cambridge","5","91608","39591","84","60","46","39401",
"2022","June 02, 2022","General Election","46306","017 - Carleton","7","95232","46463","61","50","46","46306",
"2022","June 02, 2022","General Election","36870","018 - Chatham-Kent—Leamington","5","86769","38934","1791","150","123","36870",
"2022","June 02, 2022","General Election","35473","019 - Davenport","10","82547","35745","143","109","20","35473",
