"EventNameEnglish","IsGeneralElection","ElectoralDistrictNumber","PollingDate","ResignedMPPName","NameOfCandidates","PoliticalInterestCode","TotalValidBallotsCast","PercentOfTotalValidBallotsCast","Plurality"
"2018 General Election",1,124,"2018-Jun-07","MICHEL GIROUARD","Gaetan Baillargeon","LIB",1332,0.142857142857143,0
"2018 General Election",1,124,"2018-Jun-07","MICHEL GIROUARD","Sarah Hutchinson","GPO",167,0.0179107679107679,0
"2018 General Election",1,124,"2018-Jun-07","MICHEL GIROUARD","Guy Bourgouin","NDP",4827,0.517696267696268,2032
"2018 General Election",1,124,"2018-Jun-07","MICHEL GIROUARD","Vanda Marshall","LTN",38,0.00407550407550407,0
"2018 General Election",1,124,"2018-Jun-07","MICHEL GIROUARD","André Robichaud","PCP",2795,0.29976404976405,0
"2018 General Election",1,124,"2018-Jun-07","MICHEL GIROUARD","Fauzia Sadiq","COR",13,0.00139425139425139,0
"2018 General Election",1,124,"2018-Jun-07","MICHEL GIROUARD","Jacques Joseph Ouellette","NRT",152,0.0163020163020163,0
"2018 General Election",1,1,"2018-Jun-07","ROXANNE TOMMASULO","Marsha Haynes","LTN",312,0.00638559148587801,0
"2018 General Election",1,1,"2018-Jun-07","ROXANNE TOMMASULO","Monique Hughes","NDP",15130,0.309660253786328,0
"2018 General Election",1,1,"2018-Jun-07","ROXANNE TOMMASULO","Rod Phillips","PCP",19078,0.390462546049939,3948
"2018 General Election",1,1,"2018-Jun-07","ROXANNE TOMMASULO","Frank Lopez","NAP",289,0.00591485878018829,0
"2018 General Election",1,1,"2018-Jun-07","ROXANNE TOMMASULO","Stephen Leahy","GPO",1224,0.0250511665984445,0
"2018 General Election",1,1,"2018-Jun-07","ROXANNE TOMMASULO","Kevin J. Brackley","IND",220,0.00450266066311911,0
"2018 General Election",1,1,"2018-Jun-07","ROXANNE TOMMASULO","Joe Dickson","LIB",12607,0.258022922636103,0
"2018 General Election",1,101,"2018-Jun-07","DEBORAH KONECNY","Rita Bilerman","GPO",1815,0.0364963503649635,0
"2018 General Election",1,101,"2018-Jun-07","DEBORAH KONECNY","Han Dong","LIB",11770,0.236673302366733,0
"2018 General Election",1,101,"2018-Jun-07","DEBORAH KONECNY","Chris Glover","NDP",24677,0.496209607689369,12907
"2018 General Election",1,101,"2018-Jun-07","DEBORAH KONECNY","Iris Yu","PCP",10834,0.217852043996702,0
"2018 General Election",1,101,"2018-Jun-07","DEBORAH KONECNY","Adam Nobody","NAP",271,0.00544931732722044,0
"2018 General Election",1,101,"2018-Jun-07","DEBORAH KONECNY","Queenie Yu","SNS",86,0.00172930365365667,0
"2018 General Election",1,101,"2018-Jun-07","DEBORAH KONECNY","Erik Malmholt","LTN",278,0.00559007460135529,0
"2018 General Election",1,18,"2018-Jun-07","GEORGE GUY TAYLOR","Jordan McGrail","NDP",16558,0.357061220969098,0
"2018 General Election",1,18,"2018-Jun-07","GEORGE GUY TAYLOR","Rick Nicholls","PCP",24078,0.519224548767602,7520
"2018 General Election",1,18,"2018-Jun-07","GEORGE GUY TAYLOR","Drew Barry John Simpson","IND",358,0.00772000948827981,0
"2018 General Election",1,18,"2018-Jun-07","GEORGE GUY TAYLOR","Mark Vercouteren","GPO",1643,0.0354300994112954,0
"2018 General Election",1,18,"2018-Jun-07","GEORGE GUY TAYLOR","Margaret Schleier Stahl","LIB",3736,0.0805641213637246,0
"2018 General Election",1,24,"2018-Jun-07","RALPH WERRY","Granville Anderson","LIB",10237,0.16835232785699,0
"2018 General Election",1,24,"2018-Jun-07","RALPH WERRY","Ryan Robinson","LTN",382,0.00628217146052263,0
"2018 General Election",1,24,"2018-Jun-07","RALPH WERRY","Joel Usher","NDP",19253,0.316624730705346,0
"2018 General Election",1,24,"2018-Jun-07","RALPH WERRY","Lindsey Park","PCP",28575,0.469929448912132,9322
"2018 General Election",1,24,"2018-Jun-07","RALPH WERRY","Michelle Corbett","GPO",2360,0.038811321065009,0
"2018 General Election",1,61,"2018-Jun-07","VIJAY KUMAR RAMADORAI","Dipika Damerla","LIB",13123,0.302338440271858,0
"2018 General Election",1,61,"2018-Jun-07","VIJAY KUMAR RAMADORAI","Mark Donaldson","LTN",463,0.0106669738509388,0
